N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"53,600",하락 800,-1.47%,100,"3,199,803","5,969,783",50.59,"10,417,715",11.35,4.15
2,SK하이닉스,"170,100","상승 1,600",+0.95%,"5,000","1,238,332","728,002",54.60,"2,002,387",11.87,-15.61
3,LG에너지솔루션,"344,500","하락 5,500",-1.57%,500,"806,130","234,000",4.76,"171,538",-222.26,6.36
4,삼성바이오로직스,"937,000","하락 1,000",-0.11%,"2,500","666,900","71,174",13.35,"37,366",63.36,9.12
5,현대차,"217,500","상승 1,000",+0.46%,"5,000","455,480","209,416",39.52,"455,987",4.76,13.68
6,셀트리온,"191,500","하락 2,900",-1.49%,"1,000","415,705","217,079",22.21,"591,077",205.03,5.07
7,기아,"102,900","상승 2,300",+2.29%,"5,000","409,205","397,673",39.71,"908,021",4.28,20.44
8,삼성전자우,"44,650",하락 300,-0.67%,100,"367,419","822,887",73.84,"706,284",9.46,N/A
9,KB금융,"85,500","하락 1,000",-1.16%,"5,000","336,467","393,528",76.87,"519,692",7.38,8.44
10,NAVER,"199,900","하락 2,600",-1.28%,100,"316,716","158,437",46.95,"639,262",19.28,4.41
11,HD현대중공업,"298,000","상승 26,000",+9.56%,"5,000","264,544","88,773",10.97,"511,829",92.52,0.47
12,고려아연,"1,219,000","상승 85,000",+7.50%,"5,000","252,373","20,703",13.28,"98,244",40.33,5.72
13,신한지주,"48,900",하락 500,-1.01%,"5,000","246,185","503,445",60.18,"661,428",5.45,8.36
14,현대모비스,"242,000","하락 1,000",-0.41%,"5,000","225,048","92,995",41.35,"93,588",6.60,8.73
15,POSCO홀딩스,"256,000","하락 5,000",-1.92%,"5,000","211,518","82,624",28.31,"297,517",16.38,3.18
16,삼성물산,"117,600",보합 0,0.00%,100,"209,074","177,784",26.12,"95,153",10.09,7.28
17,삼성생명,"100,500","하락 2,100",-2.05%,500,"201,000","200,000",21.41,"161,515",8.08,4.95
18,메리츠금융지주,"99,000","하락 1,200",-1.20%,500,"188,813","190,720",16.36,"237,080",8.41,28.11
19,삼성화재,"370,000",보합 0,0.00%,500,"175,287","47,375",53.69,"50,130",9.16,12.73
20,LG화학,"248,000","하락 5,000",-1.98%,"5,000","175,069","70,592",33.61,"193,397",68.57,4.20
21,카카오,"38,550",하락 950,-2.41%,100,"170,994","443,563",27.17,"1,906,101",-19.04,-10.26
22,SK이노베이션,"112,500",하락 300,-0.27%,"5,000","169,914","151,035",14.09,"151,371",-8.28,1.22
