종목명,시가총액,조단위,누적비율
삼성전자,3199803,319.9803,0.14682993692485868
SK하이닉스,1238332,123.8332,0.20365350057925682
LG에너지솔루션,806130,80.613,0.24064453316883697
삼성바이오로직스,666900,66.69,0.2712466936565883
현대차,455480,45.548,0.29214738650253375
셀트리온,415705,41.5705,0.3112229167552863
기아,409205,40.9205,0.33000018033661827
삼성전자우,367419,36.7419,0.34686000220533786
KB금융,336467,33.6467,0.36229952407193294
NAVER,316716,31.6716,0.3768327282420314
HD현대중공업,264544,26.4544,0.3889719064457676
고려아연,252373,25.2373,0.4005525917790639
신한지주,246185,24.6185,0.41184932724116774
현대모비스,225048,22.5048,0.4221761453749921
POSCO홀딩스,211518,21.1518,0.43188210996045945
삼성물산,209074,20.9074,0.44147592627747273
삼성생명,201000,20.1,0.4506992495014014
메리츠금융지주,188813,18.8813,0.45936334566000653
삼성화재,175287,17.5287,0.4674067718189756
LG화학,175069,17.5069,0.47544019457265707
카카오,170994,17.0994,0.48328662706694786
SK이노베이션,169914,16.9914,0.4910835014066027
삼성SDI,169848,16.9848,0.49887734719236304
