키워드,검색수PC,검색수M,클릭수PC,클릭수M,클릭률PC,클릭률M,광고수,경쟁정도
나이키운동화,22800,216000,129.1,3018.4,0.59,1.47,15,높음
나이키패딩,13800,125600,113.3,2044.2,0.82,1.62,15,높음
나이키에어포스,7380,73100,75.0,1241.8,1.05,1.8,10,중간
나이키V2K,3660,41800,28.0,781.8,0.75,1.81,15,높음
나이키런닝화,4470,36600,36.8,924.8,0.81,2.54,10,중간
나이키코르테즈,3750,36000,40.7,461.0,1.12,1.3,10,중간
나이키에어맥스,3910,32700,29.0,356.0,0.77,1.14,10,중간
나이키신발,5230,32200,29.3,334.4,0.59,1.1,10,중간
나이키맨투맨,3590,31400,22.6,470.7,0.65,1.54,10,높음
나이키온라인스토어,8680,31300,34.0,739.0,0.38,2.19,1,낮음
나이키키즈,3050,26900,27.0,414.3,0.92,1.56,10,높음
나이키양말,3910,26400,55.3,598.8,1.43,2.37,10,중간
나이키줌보메로5,2770,25900,28.0,374.2,0.99,1.43,10,중간
된장포스,3260,25700,44.9,927.3,1.43,3.83,10,높음
나이키모자,2690,22500,25.4,625.2,0.98,2.92,10,중간
나이키가방,2150,20400,25.3,794.0,1.21,4.21,10,높음
나이키후드티,2270,20300,18.7,467.7,0.83,2.36,10,높음
나이키후리스,2160,18900,21.5,244.8,0.97,1.27,15,높음
나이키P6000,2200,18600,27.1,553.4,1.21,2.96,15,높음
자라베이비,1210,18000,6.3,203.3,0.52,1.16,7,높음
나이키장갑,2710,17300,37.0,621.7,1.41,3.79,7,높음
나이키ACG,3070,16700,37.7,279.0,1.27,1.7,7,높음
나이키에어포스1,2090,16600,38.4,342.0,1.92,2.22,10,중간
나이키백팩,1960,16400,20.9,428.3,1.11,2.79,10,높음
에어포스1,1950,15200,38.4,259.6,1.98,1.85,10,중간
나이키바지,1610,14900,27.4,171.6,1.7,1.19,7,높음
줌보메로5,1560,13900,28.0,147.4,1.72,1.03,10,중간
나이키덩크로우,1640,13500,20.5,253.0,1.22,1.92,10,중간
나이키풋살화,1990,13500,50.1,319.2,2.54,2.47,10,중간
나이키버로우,2210,13000,31.5,452.6,1.44,3.46,15,높음
나이키에어맥스97,1710,12800,34.1,124.9,2.11,1.02,7,높음
나이키바람막이,2130,12700,11.9,131.8,0.56,1.06,10,중간
나이키보메로,1790,12100,14.6,163.2,0.8,1.37,15,높음
에어맥스97,1620,12000,26.5,228.0,1.73,1.99,10,중간
나이키러닝화,2130,11400,11.5,259.2,0.54,2.24,10,중간
나이키기모바지,1230,11400,23.6,238.2,1.89,2.14,7,높음
나이키이니시에이터,1500,11200,16.2,207.2,1.04,1.8,10,중간
나이키페가수스,2150,11000,8.3,194.0,0.38,1.76,15,높음
나이키에어포스107,1920,10900,41.3,187.2,2.16,1.74,10,중간
나이키데이브레이크,1510,10600,23.2,332.4,1.55,3.11,10,중간
나이키V2K런,1600,10500,20.5,223.6,1.26,2.07,15,높음
나이키조던,1500,10300,20.9,126.8,1.41,1.3,10,중간
버버리키즈패딩,570,10100,5.7,216.2,0.99,2.12,15,높음
