키워드,검색수M,클릭수M,클릭률M,상품수,경쟁강도
나이키러닝화,11400,259.2,2.24,1137671,99.795702
나이키신발,32200,334.4,1.1,2504986,77.794596
나이키조던,10300,126.8,1.3,454832,44.158447
나이키바지,14900,171.6,1.19,496860,33.346309
나이키런닝화,36600,924.8,2.54,1137665,31.083743
나이키후리스,18900,244.8,1.27,338051,17.886296
에어포스1,15200,259.6,1.85,205872,13.544211
나이키에어포스1,16600,342.0,2.22,191904,11.560482
나이키에어맥스,32700,356.0,1.14,374437,11.450673
나이키후드티,20300,467.7,2.36,211735,10.430296
나이키가방,20400,794.0,4.21,209719,10.280343
나이키덩크로우,13500,253.0,1.92,136423,10.105407
나이키운동화,216000,3018.4,1.47,2029165,9.394282
나이키에어포스107,10900,187.2,1.74,90046,8.261101
나이키페가수스,11000,194.0,1.76,83622,7.602
나이키풋살화,13500,319.2,2.47,100016,7.408593
나이키모자,22500,625.2,2.92,144177,6.407867
나이키바람막이,12700,131.8,1.06,74324,5.852283
나이키키즈,26900,414.3,1.56,140382,5.218662
나이키ACG,16700,279.0,1.7,79004,4.730778
나이키백팩,16400,428.3,2.79,71618,4.366951
나이키보메로,12100,163.2,1.37,50449,4.169339
나이키맨투맨,31400,470.7,1.54,117485,3.741561
나이키버로우,13000,452.6,3.46,39427,3.032846
줌보메로5,13900,147.4,1.03,39011,2.806547
에어맥스97,12000,228.0,1.99,33202,2.766833
나이키V2K런,10500,223.6,2.07,28744,2.737524
나이키에어포스,73100,1241.8,1.8,199435,2.728249
나이키양말,26400,598.8,2.37,70397,2.666553
나이키에어맥스97,12800,124.9,1.02,33047,2.581797
나이키기모바지,11400,238.2,2.14,25042,2.196667
나이키장갑,17300,621.7,3.79,34178,1.975607
나이키코르테즈,36000,461.0,1.3,55511,1.541972
나이키줌보메로5,25900,374.2,1.43,38886,1.50139
나이키이니시에이터,11200,207.2,1.8,16203,1.446696
나이키데이브레이크,10600,332.4,3.11,14605,1.37783
나이키패딩,125600,2044.2,1.62,127422,1.014506
나이키V2K,41800,781.8,1.81,30904,0.73933
버버리키즈패딩,10100,216.2,2.12,5917,0.585842
자라베이비,18000,203.3,1.16,7432,0.412889
나이키P6000,18600,553.4,2.96,4299,0.231129
된장포스,25700,927.3,3.83,1968,0.076576
나이키온라인스토어,31300,739.0,2.19,258,0.008243
