시도코드,시도명칭,시군구코드,시군구명칭,읍면동코드,읍면동명칭
11,서울특별시,010,종로구,530,사직동
11,서울특별시,010,종로구,540,삼청동
11,서울특별시,010,종로구,550,부암동
11,서울특별시,010,종로구,560,평창동
11,서울특별시,010,종로구,570,무악동
11,서울특별시,010,종로구,580,교남동
11,서울특별시,010,종로구,600,가회동
11,서울특별시,010,종로구,610,종로1·2·3·4가동
11,서울특별시,010,종로구,630,종로5·6가동
11,서울특별시,010,종로구,640,이화동
11,서울특별시,010,종로구,670,창신1동
11,서울특별시,010,종로구,680,창신2동
11,서울특별시,010,종로구,690,창신3동
11,서울특별시,010,종로구,700,숭인1동
11,서울특별시,010,종로구,710,숭인2동
11,서울특별시,010,종로구,720,청운효자동
11,서울특별시,010,종로구,730,혜화동
11,서울특별시,020,중구,520,소공동
11,서울특별시,020,중구,540,회현동
11,서울특별시,020,중구,550,명동
11,서울특별시,020,중구,570,필동
11,서울특별시,020,중구,580,장충동
11,서울특별시,020,중구,590,광희동
11,서울특별시,020,중구,600,을지로동
11,서울특별시,020,중구,650,신당5동
11,서울특별시,020,중구,670,황학동
11,서울특별시,020,중구,680,중림동
11,서울특별시,020,중구,690,신당동
11,서울특별시,020,중구,700,다산동
11,서울특별시,020,중구,710,약수동
11,서울특별시,020,중구,720,청구동
11,서울특별시,020,중구,730,동화동
11,서울특별시,030,용산구,510,후암동
11,서울특별시,030,용산구,520,용산2가동
11,서울특별시,030,용산구,530,남영동
11,서울특별시,030,용산구,570,원효로2동
11,서울특별시,030,용산구,580,효창동
11,서울특별시,030,용산구,590,용문동
11,서울특별시,030,용산구,630,이촌1동
11,서울특별시,030,용산구,640,이촌2동
11,서울특별시,030,용산구,650,이태원1동
11,서울특별시,030,용산구,660,이태원2동
11,서울특별시,030,용산구,690,서빙고동
11,서울특별시,030,용산구,700,보광동
11,서울특별시,030,용산구,710,청파동
11,서울특별시,030,용산구,720,원효로1동
11,서울특별시,030,용산구,730,한강로동
11,서울특별시,030,용산구,740,한남동
11,서울특별시,040,성동구,520,왕십리2동
11,서울특별시,040,성동구,540,마장동
11,서울특별시,040,성동구,550,사근동
11,서울특별시,040,성동구,560,행당1동
11,서울특별시,040,성동구,570,행당2동
11,서울특별시,040,성동구,580,응봉동
11,서울특별시,040,성동구,590,금호1가동
11,서울특별시,040,성동구,620,금호4가동
11,서울특별시,040,성동구,650,성수1가1동
11,서울특별시,040,성동구,660,성수1가2동
11,서울특별시,040,성동구,670,성수2가1동
11,서울특별시,040,성동구,680,성수2가3동
11,서울특별시,040,성동구,690,송정동
11,서울특별시,040,성동구,700,용답동
11,서울특별시,040,성동구,710,왕십리도선동
11,서울특별시,040,성동구,720,금호2·3가동
11,서울특별시,040,성동구,730,옥수동
11,서울특별시,050,광진구,530,화양동
11,서울특별시,050,광진구,540,군자동
11,서울특별시,050,광진구,550,중곡1동
11,서울특별시,050,광진구,560,중곡2동
11,서울특별시,050,광진구,570,중곡3동
