지역코드,계약년도,계약월,거래유형,법정동,단지명,전용면적,거래금액
11680,2023,1,중개거래,일원동,목련타운,99.79,"175,000"
11680,2023,1,중개거래,개포동,삼익대청아파트,39.53,"97,000"
11680,2023,1,중개거래,일원동,푸른마을아파트101동~111동,59.76,"123,500"
11680,2023,1,중개거래,개포동,성원대치2단지아파트,33.18,"85,500"
11680,2023,1,중개거래,도곡동,타워팰리스1,137.24,"330,000"
11680,2023,1,직거래,개포동,개포자이르네,50.8665,"90,000"
11680,2023,1,중개거래,개포동,래미안블레스티지,59.967,"171,000"
11680,2023,1,중개거래,개포동,성원대치2단지아파트,33.18,"86,000"
11680,2023,1,중개거래,대치동,한보미도맨션2,126.33,"317,500"
11680,2023,1,중개거래,수서동,강남 더샵 포레스트,165.4312,"380,000"
11680,2023,1,중개거래,개포동,래미안블레스티지,59.967,"174,000"
11680,2023,1,중개거래,대치동,한보미도맨션2,115.05,"285,000"
11680,2023,1,중개거래,일원동,푸른마을아파트101동~111동,84.93,"147,000"
11680,2023,1,중개거래,수서동,까치마을,49.5,"115,000"
11680,2023,1,중개거래,수서동,삼성,84.97,"165,000"
11680,2023,1,중개거래,수서동,강남데시앙포레,114.45,"165,000"
11680,2023,1,중개거래,신사동,신사동씨티빌,60.938,"55,000"
11680,2023,1,중개거래,대치동,래미안대치팰리스,84.99,"298,000"
11680,2023,1,중개거래,도곡동,삼성,84.91,"175,000"
11680,2023,1,중개거래,수서동,삼성,84.97,"150,000"
11680,2023,1,중개거래,도곡동,도곡렉슬,59.9772,"160,000"
11680,2023,1,중개거래,도곡동,도곡렉슬,84.9984,"256,000"
11680,2023,1,중개거래,대치동,테헤란로대우아이빌(891-6),29.02,"34,500"
11680,2023,1,중개거래,수서동,삼익,84.48,"147,000"
11680,2023,1,중개거래,개포동,개포주공6단지,83.21,"230,000"
11680,2023,1,중개거래,대치동,대치현대,85,"205,000"
11680,2023,1,중개거래,개포동,성원대치2단지아파트,33.18,"85,000"
11680,2023,1,중개거래,개포동,래미안블레스티지,59.967,"177,000"
11680,2023,1,중개거래,개포동,성원대치2단지아파트,33.18,"81,700"
11680,2023,1,중개거래,개포동,성원대치2단지아파트,49.86,"110,000"
11680,2023,1,중개거래,개포동,성원대치2단지아파트,33.18,"85,800"
11680,2023,1,중개거래,개포동,성원대치2단지아파트,39.53,"89,800"
11680,2023,1,중개거래,개포동,성원대치2단지아파트,33.18,"84,500"
11680,2023,1,중개거래,일원동,래미안 개포 루체하임,59.99,"162,000"
11680,2023,1,중개거래,대치동,한보미도맨션2,126.33,"310,000"
11680,2023,1,중개거래,청담동,청담자이,82.365,"280,000"
11680,2023,1,중개거래,도곡동,도곡렉슬,84.9984,"240,000"
11680,2023,1,중개거래,대치동,개포우성1,84.81,"260,000"
11680,2023,1,중개거래,수서동,신동아,33.18,"85,500"
11680,2023,1,중개거래,삼성동,LG선릉에클라트(A),36.16,"33,000"
11680,2023,1,중개거래,역삼동,개나리래미안,84.93,"210,000"
11680,2023,1,중개거래,삼성동,삼성동브라운스톤레전드,204.1,"428,000"
11680,2023,1,중개거래,대치동,은마,76.79,"185,000"
11680,2023,1,중개거래,개포동,래미안블레스티지,59.897,"167,400"
11680,2023,1,중개거래,역삼동,래미안그레이튼(진달래2차),59.91,"150,000"
11680,2023,1,중개거래,도곡동,럭키(963),84.97,"185,000"
11680,2023,1,중개거래,역삼동,역삼래미안,59.4,"167,000"
11680,2023,1,중개거래,역삼동,개나리래미안,144.55,"280,000"
11680,2023,1,중개거래,대치동,대치아이파크,149.78,"370,000"
11680,2023,1,중개거래,개포동,개포래미안포레스트,59.92,"167,000"
11680,2023,1,중개거래,청담동,목화,133.97,"300,000"
11680,2023,1,중개거래,수서동,신동아,33.18,"85,000"
11680,2023,1,중개거래,대치동,개포우성1,84.81,"245,000"
11680,2023,1,중개거래,신사동,대성아파트,68.24,"70,000"
11680,2023,1,중개거래,일원동,래미안 개포 루체하임,121.71,"286,000"
11680,2023,1,중개거래,역삼동,요진와이시티미니,12.1,"18,900"
11680,2023,1,중개거래,개포동,개포주공7단지,83.7,"245,000"
11680,2023,1,중개거래,도곡동,도곡렉슬,84.9984,"240,000"
11680,2023,1,중개거래,개포동,삼익대청아파트,60,"133,000"
11680,2023,1,중개거래,도곡동,도곡렉슬,114.9931,"315,000"
11680,2023,1,중개거래,청담동,청담4차이-편한세상,136.41,"265,000"
11680,2023,1,중개거래,일원동,샘터마을,134.438,"193,000"
11680,2023,1,중개거래,도곡동,도곡렉슬,119.8906,"265,000"
11680,2023,1,중개거래,개포동,개포주공5단지,74.25,"210,000"
11680,2023,1,중개거래,수서동,신동아,33.18,"80,000"
11680,2023,1,직거래,역삼동,현대휴먼터치빌,25.92,"24,000"
11680,2023,1,중개거래,도곡동,우성4,152.74,"320,000"
11680,2023,1,중개거래,대치동,은마,84.43,"215,000"
11680,2023,1,중개거래,도곡동,도곡렉슬,59.9772,"160,000"
11680,2023,1,중개거래,삼성동,LG선릉에클라트(A),41.64,"37,500"
